location,avg_total_cases,avg_total_deaths,avg_death_to_case_ratio
France,20998130.676664665,117784.13317336532,20.701490556316692
Mauritania,41623.90461907619,728.488902219556,0.5944630929600215
Yemen,8332.134973005399,1560.5692861427715,0.2002395637915892
Sudan,45163.63407318536,3438.8008398320335,0.08117971629700599
Germany,19864763.20035993,113477.48290341931,0.07412447254376259
Peru,2859444.9070185963,168920.81223755248,0.0729397441723241
Mexico,4706423.974205159,251308.98620275944,0.06849400593221334
European Union (27),101998282.34433113,850758.800239952,0.05863501102620838
Syria,38449.06118776245,2191.8350329934015,0.05722147580615636
Egypt,356355.8344331134,17840.46850629874,0.05054969154767824
Zimbabwe,164508.4703059388,3803.2591481703657,0.04987439280692282
Europe,140964415.90881824,1407552.0113977205,0.04955691366640284
Ecuador,673059.9910017996,26728.204559088183,0.04646322119978192
Somalia,18965.74145170966,949.2135572885423,0.04612430273810125
Liberia,5449.115176964607,216.81523695260947,0.04497009417492723
Niger,6663.125374925015,233.1499700059988,0.04265661854656456
United Kingdom,14753191.896820636,165553.9424115177,0.04212969679432102
High-income countries,234289657.77144572,1969354.9424115177,0.040254265154622215
Bosnia and Herzegovina,270395.9982003599,11146.215956808637,0.04006304202323242
Afghanistan,146576.17456508699,5654.805638872225,0.03765989121572319
Hungary,1354692.6796640672,32882.50449910018,0.03554608122023511
Chad,5446.114577084583,156.40911817636473,0.03551778691417423
Bulgaria,805050.3209358129,25342.849430113976,0.03397714119861676
Montenegro,157784.57768446312,1810.6700659868027,0.03357817826742761
North Macedonia,227200.19856028794,6923.715656868626,0.03291225079778091
Malawi,59659.03599280144,1850.2957408518296,0.031794076400515556
Guyana,44648.34373125375,840.1427714457109,0.03172697157905518
Italy,13994761.451709658,135213.40191961607,0.031244300708066025
Mali,21564.963407318537,540.491301739652,0.030656808147123318
Algeria,191677.1727654469,5015.657468506299,0.030621877208865594
Indonesia,4274797.892621475,109118.97420515897,0.03046268679201246
Philippines,2617262.0491901617,42577.05278944211,0.03010245720690509
Nicaragua,10899.373125374925,194.46310737852428,0.029979909206615852
Bolivia,727327.826034793,16578.041391721657,0.02985164772131299
Bahamas,24448.02099580084,553.2909418116377,0.029239431150952046
Myanmar,418339.9628074385,13054.831433713258,0.02920004090320679
Democratic Republic of Congo,64111.91961607678,1066.5512897420515,0.02908295208892589
Tunisia,734861.5194961007,20039.90521895621,0.02881642443916349
Iran,5065295.218956209,104564.50389922016,0.028787652823781852
Tanzania,25308.316136772646,540.3977204559088,0.027517027849411103
South America,43793778.877624474,982271.6850629874,0.0275138229533519
Belgium,2829916.74805039,25825.16076784643,0.02733442419087713
Montserrat,671.9850029994001,4.313137372525495,0.026907417371421133
Honduras,324226.97900419915,7993.780443911218,0.026751820995320516
Gambia,8883.69226154769,265.2993401319736,0.02666187057871984
Paraguay,478629.549490102,13380.174565086983,0.026365753357807043
Trinidad and Tobago,107871.16136772645,2569.9622075584884,0.026341428859074766
World,426076035.4031194,4775383.134373126,0.02631559043778796
South Africa,2797124.9916016795,73781.27414517096,0.026268833185694757
Romania,2104424.834433113,45831.28134373125,0.02626799591246358
Low-income countries,1288450.9586082783,30294.12897420516,0.026198166861129926
Haiti,23662.19076184763,603.1709658068386,0.026044267512308556
Antigua and Barbuda,5335.27174565087,92.26754649070186,0.02537470094700689
Sint Maarten (Dutch part),6751.5974805038995,62.61427714457108,0.025248923363463995
El Salvador,128992.50689862028,3014.4481103779244,0.024972243946180115
Colombia,4448143.775644871,103389.66646670667,0.02460174418409947
Brazil,24002331.711457707,504270.3599280144,0.024540911415982258
Isle of Man,21231.070185962806,77.1871625674865,0.0237791486593211
Lesotho,22799.13677264547,490.59748050389925,0.023736064083036044
Guatemala,724252.4733053389,13526.36472705459,0.02343273897293352
Spain,8514925.002399521,89189.43311337732,0.023390165209712935
Africa,8713176.212957408,183048.5878824235,0.023228213112774527
China,35449340.54829034,47044.18596280744,0.0232115343677536
Comoros,5820.188362327534,120.69166166766647,0.023130394649858416
Upper-middle-income countries,129739983.52189562,1947087.7774445112,0.022782340443994402
Moldova,395229.6880623875,8300.971205758848,0.022362822713172283
Poland,4176412.6598680266,81773.7102579484,0.022309276166315478
Jamaica,96696.69886022796,2185.0659868026396,0.02198188045863071
Angola,68199.82603479305,1323.2927414517096,0.02191347747280107
Argentina,6444324.26874625,96243.36712657468,0.021816434173012832
Burkina Faso,15417.353929214158,267.9532093581284,0.021300285045887206
Sweden,1710288.4007198561,16924.21955608878,0.021278309241793632
Eswatini,48441.13857228554,994.2345530893821,0.021186767017470482
Senegal,62677.175164967004,1426.4781043791243,0.02106022096366363
